Peak Comparisons and Drift,,,,,,y-coor,x-coor,,,,,,,,,,
,,,,,bay,130-140,834,,,,-47,,,,,,
,,,,,base,173,862,,,,,,,,,,
,,,,,canal int,36,810,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,x-coor,y-coor,x-drift,y-drift,x-true,y-true,group,explosion,noise,potential min,potential max,peak 0-.3,peak .3-.5,peak .5-.6,peak .6-1,peak6.2,peak 6.3
25_361,824,2042,0,0,824,2042,6,pre+,minimal,-1,1,,,0.525,0.6,,
37_875,827,2054,0,0,827,2054,7,pre+,minimal,-1,1,,,0.53,,,
48_933,828,2063,0,0,828,2063,7,pre+,minimal,-1,1,,,0.56,,,
15_215,832,2081,0,0,832,2081,7,pre+,minimal,-1,1,,,0.56,,,
11_154,834,2090,0,0,834,2090,7,pre+,little,-1,1,,,0.555,0.565,,
49_530,835,2099,0,0,835,2099,7,pre+,little,-1,1,,,0.525,0.565,,
10_320,837,2107,0,0,837,2107,7,pre+,little,-1,1,,,0.56,0.57,,
42_297,833,2098,-4,-5,837,2103,12,pre+,minimal,-1,1,,,0.525,,,
40_360,833,2098,-4,-5,837,2103,12,pre+,little,-1,1,,,0.525,0.56,,
19_749,844,2107,-4,-5,848,2112,12,pre+,minimal,-1,1,,,0.525,0.56,,
56_785,841,2117,-2,-10,843,2127,13,pre+,minimal,-1,1,,,0.525,0.56,0.57,
56_637,839,2107,-2,-19,841,2126,17,pre+,minimal,-1,1,,,0.56,0.57,,
33_369,840,2110,-2,-19,842,2129,17,pre+,minimal,-1,1,,,0.56,0.57,,
26_547,842,2112,-2,-19,844,2131,17,pre+,little,-1,1,,,0.56,0.575,,
17_060,841,2114,-2,-19,843,2133,17,pre+,minimal,-1,1,,,0.55,0.565,,
47_617,842,2117,-2,-19,844,2136,17,pre+,minimal,-1,1,,,0.56,0.565,,
00_932,843,2120,-2,-19,845,2139,17,pre+,minimal,-1,1,,,,0.565,,
30_084,849,2137,-2,-22,851,2159,18,pre+,minimal,-1,1,,,0.54,0.57,,
28_672,851,2149,-2,-22,853,2171,18,pre+,minimal,-1,1,,,,0.57,,
31_722,855,2164,-2,-22,857,2186,18,pre+,minimal,-1,1,,,,0.565,,
16_152,855,2166,-2,-22,857,2188,18,pre+,minimal,-1,1,,,,0.565,,
09_254,855,2170,-2,-22,857,2192,18,pre+,minimal,-1,1,,,0.56,,,
34_813,841,2098,-4,-37,845,2135,19,pre+,minimal,0,0.8,,,,0.62,0.72,
25_676,842,2100,-4,-37,846,2137,19,pre+,minimal,0,0.8,,,,0.7,,
09_254,843,2101,-4,-37,847,2138,19,pre+,little,0,0.8,0.14,,,0.64,,
05_552,843,2102,-4,-37,847,2139,19,pre+,a bit,0,0.8,0.14,,,0.64,,
15_906,844,2105,-4,-37,848,2142,19,pre+,little,0,0.8,0.18,,,0.65,,
21_689,844,2106,-4,-37,848,2143,19,pre+,minimal,0,0.8,0.2,,,0.66,,
58_500,844,2107,-4,-37,848,2144,19,pre+,minimal,0,0.8,0.2,,,0.66,,
20_423,845,2108,-4,-37,849,2145,19,pre+,minimal,0,0.8,0.18,,,0.68,,
32_165,845,2110,-4,-37,849,2147,19,pre+,little,0,0.8,0.14,,,0.66,,
51_692,846,2112,-4,-37,850,2149,19,pre+,minimal,0,0.8,0.12,,,0.66,,
11_889,846,2114,-4,-37,850,2151,19,pre+,minimal,0,0.8,,,,0.68,,
20_933,847,2116,-4,-37,851,2153,19,pre+,minimal,0,0.8,,,,0.7,,
29_492,847,2118,-4,-37,851,2155,19,pre+,minimal,0,0.8,,,,0.7,,
59_123,847,2119,-4,-37,851,2156,19,pre+,minimal,0,0.8,,,,0.72,,
26_949,848,2120,-4,-37,852,2157,19,pre+,minimal,0,0.8,,0.35,,0.72,,
39_006,848,2122,-4,-37,852,2159,19,pre+,minimal,0,0.8,,0.44,,0.73,,
59_544,848,2124,-4,-37,852,2161,19,pre+,little,0,0.8,,0.46,,0.72,,
46_228,842,2097,-4,-40,846,2137,23,pre+,minimal,-0.4,0.4,0.16,,,,,
21_123,843,2101,-4,-40,847,2141,23,pre+,minimal,-0.4,0.4,0.16,,,,,
10_729,843,2100,-4,-42,847,2142,24,pre+,minimal,-0.4,0.5,0.26,,,,,
19_530,844,2100,-4,-45,848,2145,24,pre+,little,-0.4,0.5,0.25,,,,,
41_684,844,2102,-4,-45,848,2147,24,pre+,little,-0.4,0.5,0.24,,,,,
52_886,844,2104,-4,-45,848,2149,24,pre+,minimal,-0.4,0.5,0.22,,,,,
17_614,845,2105,-4,-45,849,2150,24,pre+,minimal,-0.4,0.5,0.22,,,,,
46_633,844,2101,2,-47,842,2148,26,post,minimal,-0.4,0.4,,0.34,,,,
51_611,844,2106,2,-47,842,2153,26,post,minimal,-0.4,0.4,0.26,,,,,
41_582,845,2107,2,-47,843,2154,26,post,minimal,-0.4,0.4,0.26,,,,,
34_373,846,2108,2,-47,844,2155,26,post,minimal,-0.4,0.4,0.18,0.34,,,,
